number_series,answer,obfuscation,obfuscation_ground_truth
"11, 12, 15, 20, 27, ...",36,"Beta Beta, Beta Gamma, Beta Zeta, Gamma Alpha, Gamma Theta, ",Delta Eta
"14, 25, 47, 91, 179, ...",355,"Beta Epsilon, Gamma Zeta, Epsilon Theta, Kappa Beta, Beta Theta Kappa, ",Delta Zeta Zeta
"4, 6, 9, 14, 21, ...",32,"Epsilon, Eta, Kappa, Beta Epsilon, Gamma Beta, ",Delta Gamma
"3, 4, 7, 8, 11, 12, ...","15,16","Delta, Epsilon, Theta, Iota, Beta Beta, Beta Gamma, ",Beta Zeta Beta Eta
"2, 3, 12, 37, 86, 166, 288, ...",166,"Gamma, Delta, Beta Gamma, Delta Theta, Iota Eta, Beta Eta Eta, Gamma Iota Iota, ",Beta Eta Eta
"81, 101, 121, ...",145,"Iota Beta, Beta Alpha Beta, Beta Gamma Beta, ",Beta Epsilon Zeta
"11, 121, 15, ...",225,"Beta Beta, Beta Gamma Beta, Beta Zeta, ",Gamma Gamma Zeta
"2, 4, 8, 10, 14, ...",16,"Gamma, Epsilon, Iota, Beta Alpha, Beta Epsilon, ",Beta Eta
"1, 8, 9, 64, ...",25,"Beta, Iota, Kappa, Eta Epsilon, ",Gamma Zeta
"6, 11, 18, 27, ...",38,"Eta, Beta Beta, Beta Iota, Gamma Theta, ",Delta Iota
"3, 4.5, 9, ...",22.5,"Delta, Epsilon Zeta, Kappa, ",Gamma Gamma Zeta
"3, 5, 7, 9, 11, ...",13,"Delta, Zeta, Theta, Kappa, Beta Beta, ",Beta Delta
"1, 7, 37, 187, 937, ...",4687,"Beta, Theta, Delta Theta, Beta Iota Theta, Kappa Delta Theta, ",Epsilon Eta Iota Theta
"1, 5, 19, 81, ...",411,"Beta, Zeta, Beta Kappa, Iota Beta, ",Epsilon Beta Beta
"2, 6, 12, 20, ...",30,"Gamma, Eta, Beta Gamma, Gamma Alpha, ",Delta Alpha
"64, 58, 52, 46, ...",40,"Eta Epsilon, Zeta Iota, Zeta Gamma, Epsilon Eta, ",Epsilon Alpha
"3, 9, 27, 81, ...",243,"Delta, Kappa, Gamma Theta, Iota Beta, ",Gamma Epsilon Delta
"240, 60, 15, 5, ...",2,"Gamma Epsilon Alpha, Eta Alpha, Beta Zeta, Zeta, ",Gamma
"1, 4, 9, 16, ...",25,"Beta, Epsilon, Kappa, Beta Eta, ",Gamma Zeta
"8, 27, 64, 125, ...",216,"Iota, Gamma Theta, Eta Epsilon, Beta Gamma Zeta, ",Gamma Beta Eta
"0, 1, 1, 2, 3, 5, ...",8,"Alpha, Beta, Beta, Gamma, Delta, Zeta, ",Iota
"4, 9, 6, 11, 8, ...",13,"Epsilon, Kappa, Eta, Beta Beta, Iota, ",Beta Delta
"12, 7, 21, 16, 30, ...",25,"Beta Gamma, Theta, Gamma Beta, Beta Eta, Delta Alpha, ",Gamma Zeta
"101, 99, 96, 91, ?",84,"Beta Alpha Beta, Kappa Kappa, Kappa Eta, Kappa Beta, ",Iota Epsilon
"97, 97, 82, 82, 67, 67, ...",52,"Kappa Theta, Kappa Theta, Iota Gamma, Iota Gamma, Eta Theta, Eta Theta, ",Zeta Gamma
"109, 190, 239, 264, 273, ...",274,"Beta Alpha Kappa, Beta Kappa Alpha, Gamma Delta Kappa, Gamma Eta Epsilon, Gamma Theta Delta, ",Gamma Theta Epsilon
"123, 98, 82, 73, 69, ...",68,"Beta Gamma Delta, Kappa Iota, Iota Gamma, Theta Delta, Eta Kappa, ",Eta Iota
"47, 56, 74, 101, 137, ...",182,"Epsilon Theta, Zeta Eta, Theta Epsilon, Beta Alpha Beta, Beta Delta Theta, ",Beta Iota Gamma
"13, 14, 23, 48, 97, 178, ...",299,"Beta Delta, Beta Epsilon, Gamma Delta, Epsilon Iota, Kappa Theta, Beta Theta Iota, ",Gamma Kappa Kappa
"24, 40, 64, 104, ..., 312",176,"Gamma Epsilon, Epsilon Alpha, Eta Epsilon, Beta Alpha Epsilon, , Delta Beta Gamma",Beta Theta Eta
"11, 13, 19, 49, 109, 239, ...",449,"Beta Beta, Beta Delta, Beta Kappa, Epsilon Kappa, Beta Alpha Kappa, Gamma Delta Kappa, ",Epsilon Epsilon Kappa
"4, 5, 18, 19, 68, 69, ...",262,"Epsilon, Zeta, Beta Iota, Beta Kappa, Eta Iota, Eta Kappa, ",Gamma Eta Gamma
"6, 16, 29, 62, 121, ...",246,"Eta, Beta Eta, Gamma Kappa, Eta Gamma, Beta Gamma Beta, ",Gamma Epsilon Eta
"62, 74, 80, 86, 95, ..., 158",113,"Eta Gamma, Theta Epsilon, Iota Alpha, Iota Eta, Kappa Zeta, , Beta Zeta Iota",Beta Beta Delta
"18, 24, 84, 294, 798, ...",1788,"Beta Iota, Gamma Epsilon, Iota Epsilon, Gamma Kappa Epsilon, Theta Kappa Iota, ",Beta Theta Iota Iota
"19, 38, 35, ..., 135, 810",140,"Beta Kappa, Delta Iota, Delta Zeta, , Beta Delta Zeta, Iota Beta Alpha",Beta Epsilon Alpha
"1, 2, 6, 15, ..., 56, 92",31,"Beta, Gamma, Eta, Beta Zeta, , Zeta Eta, Kappa Gamma",Delta Beta
"5, 18, 70, 278, ...",1110,"Zeta, Beta Iota, Theta Alpha, Gamma Theta Iota, ",Beta Beta Beta Alpha
"3, 5, 5, 19, 7, 41, 9, ...",71,"Delta, Zeta, Zeta, Beta Kappa, Theta, Epsilon Beta, Kappa, ",Theta Beta
"4, 18, ..., 100, 180, 294, 448",48,"Epsilon, Beta Iota, , Beta Alpha Alpha, Beta Iota Alpha, Gamma Kappa Epsilon, Epsilon Epsilon Iota",Epsilon Iota
"1, 2, 6, 15, 31, 56, 91",91,"Beta, Gamma, Eta, Beta Zeta, Delta Beta, Zeta Eta, Kappa Beta",Kappa Beta
"132, 156, ..., 210, 240, 272",182,"Beta Delta Gamma, Beta Zeta Eta, , Gamma Beta Alpha, Gamma Epsilon Alpha, Gamma Theta Gamma",Beta Iota Gamma
"10, 9, 60, 90, 70, 66, ...",96,"Beta Alpha, Kappa, Eta Alpha, Kappa Alpha, Theta Alpha, Eta Eta, ",Kappa Eta
"5, 9, 13, 17, 21, ...",25,"Zeta, Kappa, Beta Delta, Beta Theta, Gamma Beta, ",Gamma Zeta
"8, 27, 125, 343, 1381",1381,"Iota, Gamma Theta, Beta Gamma Zeta, Delta Epsilon Delta, Beta Delta Iota Beta",Beta Delta Iota Beta
"102, 85, 68, 51, ...",34,"Beta Alpha Gamma, Iota Zeta, Eta Iota, Zeta Beta, ",Delta Epsilon
"1, 3, 5, 7, ...",9,"Beta, Delta, Zeta, Theta, ",Kappa
"964, ?, 241, 120.5, 60.25",482,"Kappa Eta Epsilon, , Gamma Epsilon Beta, Beta Gamma Alpha Zeta, Eta Alpha Gamma Zeta",Epsilon Iota Gamma
"24, 26, 28, ?, 32, 34",30,"Gamma Epsilon, Gamma Eta, Gamma Iota, , Delta Gamma, Delta Epsilon",Delta Alpha
"9, 11, 14, 16, 19, 21, ...",24,"Kappa, Beta Beta, Beta Epsilon, Beta Eta, Beta Kappa, Gamma Beta, ",Gamma Epsilon
"21, 55, 19, 50, 17, 45, ...",15,"Gamma Beta, Zeta Zeta, Beta Kappa, Zeta Alpha, Beta Theta, Epsilon Zeta, ",Beta Zeta
"13, 17, 26, 42, 67, ...",103,"Beta Delta, Beta Theta, Gamma Eta, Epsilon Gamma, Eta Theta, ",Beta Alpha Delta
"13, 10, 7, 4, ...",1,"Beta Delta, Beta Alpha, Theta, Epsilon, ",Beta
"7, 11, 15, 19, 23, ...",27,"Theta, Beta Beta, Beta Zeta, Beta Kappa, Gamma Delta, ",Gamma Theta
"4, 18, ?, 100, 180, 294, 448",48,"Epsilon, Beta Iota, , Beta Alpha Alpha, Beta Iota Alpha, Gamma Kappa Epsilon, Epsilon Epsilon Iota",Epsilon Iota
"3, 5, 5, 19, 7, 41, 9, ...",71,"Delta, Zeta, Zeta, Beta Kappa, Theta, Epsilon Beta, Kappa, ",Theta Beta
"1, 2, 3, 10, ?, 9802",99,"Beta, Gamma, Delta, Beta Alpha, , Kappa Iota Alpha Gamma",Kappa Kappa
"1, 2, 6, 15, 31, 56, 91",91,"Beta, Gamma, Eta, Beta Zeta, Delta Beta, Zeta Eta, Kappa Beta",Kappa Beta
"132, 156, ?, 210, 240, 272",182,"Beta Delta Gamma, Beta Zeta Eta, , Gamma Beta Alpha, Gamma Epsilon Alpha, Gamma Theta Gamma",Beta Iota Gamma
"2, 3, 4, 4, 6, 8, 9, 12, 16",9,"Gamma, Delta, Epsilon, Epsilon, Eta, Iota, Kappa, Beta Gamma, Beta Eta",Kappa
"2, 5, 10, 50, 500, 5000",5000,"Gamma, Zeta, Beta Alpha, Zeta Alpha, Zeta Alpha Alpha, Zeta Alpha Alpha Alpha",Zeta Alpha Alpha Alpha
"3, 8, 15, 24, 34, 48, 63",34,"Delta, Iota, Beta Zeta, Gamma Epsilon, Delta Epsilon, Epsilon Iota, Eta Delta",Delta Epsilon
"1024, 520, 268, 142, ?, 47.5",79,"Beta Alpha Gamma Epsilon, Zeta Gamma Alpha, Gamma Eta Iota, Beta Epsilon Gamma, , Epsilon Theta Zeta",Theta Kappa
"32, 16.5, 17.5, 27.75, 57.5, ?",146.25,"Delta Gamma, Beta Eta Zeta, Beta Theta Zeta, Gamma Theta Theta Zeta, Zeta Theta Zeta, ",Beta Epsilon Eta Gamma Zeta
"6, 16, 34, 62, 102, ?",156,"Eta, Beta Eta, Delta Epsilon, Eta Gamma, Beta Alpha Gamma, ",Beta Zeta Eta
"100, 101, 102, 101, 96, ?, 66",85,"Beta Alpha Alpha, Beta Alpha Beta, Beta Alpha Gamma, Beta Alpha Beta, Kappa Eta, , Eta Eta",Iota Zeta
"3, 10, 24, 50, ?, 170",120,"Delta, Beta Alpha, Gamma Epsilon, Zeta Alpha, , Beta Theta Alpha",Beta Gamma Alpha
"32, 35, 64, 71, 104, ?, 152",115,"Delta Gamma, Delta Zeta, Eta Epsilon, Theta Beta, Beta Alpha Epsilon, , Beta Zeta Gamma",Beta Beta Zeta
"4, 20, 29, 38, 47, 56, ?",65,"Epsilon, Gamma Alpha, Gamma Kappa, Delta Iota, Epsilon Theta, Zeta Eta, ",Eta Zeta
"9, 24, 69, 204, 609, ?",1824,"Kappa, Gamma Epsilon, Eta Kappa, Gamma Alpha Epsilon, Eta Alpha Kappa, ",Beta Iota Gamma Epsilon
"582, 751, 555, 724, 528, ?",697,"Zeta Iota Gamma, Theta Zeta Beta, Zeta Zeta Zeta, Theta Gamma Epsilon, Zeta Gamma Iota, ",Eta Kappa Theta
"14, 33, 71, 128, 204, ?",,"Beta Epsilon, Delta Delta, Theta Beta, Beta Gamma Iota, Gamma Alpha Epsilon, ",
"8, 12, 18, 27, 40.5, 60.75, ?",91.125,"Iota, Beta Gamma, Beta Iota, Gamma Theta, Epsilon Alpha Zeta, Eta Alpha Theta Zeta, ",Kappa Beta Beta Gamma Zeta
"13, 15, 21, 37, 77, 173, ?",397,"Beta Delta, Beta Zeta, Gamma Beta, Delta Theta, Theta Theta, Beta Theta Delta, ",Delta Kappa Theta
"8648, 8834, 9022, 9212, 9404, 9598, ?",9794,"Iota Eta Epsilon Iota, Iota Iota Delta Epsilon, Kappa Alpha Gamma Gamma, Kappa Gamma Beta Gamma, Kappa Epsilon Alpha Epsilon, Kappa Zeta Kappa Iota, ",Kappa Theta Kappa Epsilon
"23, 21, 45, 131, 529, ?, 15841",2639,"Gamma Delta, Gamma Beta, Epsilon Zeta, Beta Delta Beta, Zeta Gamma Kappa, , Beta Zeta Iota Epsilon Beta",Gamma Eta Delta Kappa
"64, 88, 152, 162, 174, ?",202,"Eta Epsilon, Iota Iota, Beta Zeta Gamma, Beta Eta Gamma, Beta Theta Epsilon, ",Gamma Alpha Gamma
"43, 47, 56, 81, 130, ?",251,"Epsilon Delta, Epsilon Theta, Zeta Eta, Iota Beta, Beta Delta Alpha, ",Gamma Zeta Beta
"1022, 1009, 983, 944, 892, ?",827,"Beta Alpha Gamma Gamma, Beta Alpha Alpha Kappa, Kappa Iota Delta, Kappa Epsilon Epsilon, Iota Kappa Gamma, ",Iota Gamma Theta
"1025, 1024, 1019, 1005, 975, ?",920,"Beta Alpha Gamma Zeta, Beta Alpha Gamma Epsilon, Beta Alpha Beta Kappa, Beta Alpha Alpha Zeta, Kappa Theta Zeta, ",Kappa Gamma Alpha
"196, 201, 208.5, 218.5, 231, ?",246,"Beta Kappa Eta, Gamma Alpha Beta, Gamma Alpha Iota Zeta, Gamma Beta Iota Zeta, Gamma Delta Beta, ",Gamma Epsilon Eta
"489, 510, 516, 528, 543, 555, ?",570,"Epsilon Iota Kappa, Zeta Beta Alpha, Zeta Beta Eta, Zeta Gamma Iota, Zeta Epsilon Delta, Zeta Zeta Zeta, ",Zeta Theta Alpha
"81, 91, 109, 146, 221, 351, ?",576,"Iota Beta, Kappa Beta, Beta Alpha Kappa, Beta Epsilon Eta, Gamma Gamma Beta, Delta Zeta Beta, ",Zeta Theta Eta
"540, 538, 534, 526, 510, ?, 414",478,"Zeta Epsilon Alpha, Zeta Delta Iota, Zeta Delta Epsilon, Zeta Gamma Eta, Zeta Beta Alpha, , Epsilon Beta Epsilon",Epsilon Theta Iota
"32, 24, 20, 18, 17, ?",16.5,"Delta Gamma, Gamma Epsilon, Gamma Alpha, Beta Iota, Beta Theta, ",Beta Eta Zeta
"1, 3, 9, 39, 249, 2559, ?",32589,"Beta, Delta, Kappa, Delta Kappa, Gamma Epsilon Kappa, Gamma Zeta Zeta Kappa, ",Delta Gamma Zeta Iota Kappa
"704, 88, 22, 8.25, ?",4.125,"Theta Alpha Epsilon, Iota Iota, Gamma Gamma, Iota Gamma Zeta, ",Epsilon Beta Gamma Zeta
"2, 10, 30, 68, 130, ?",222,"Gamma, Beta Alpha, Delta Alpha, Eta Iota, Beta Delta Alpha, ",Gamma Gamma Gamma
"1, 4, 15, 28, 57, 88, ?",143,"Beta, Epsilon, Beta Zeta, Gamma Iota, Zeta Theta, Iota Iota, ",Beta Epsilon Delta
"122, 171, 228, 293, 366, ?",447,"Beta Gamma Gamma, Beta Theta Beta, Gamma Gamma Iota, Gamma Kappa Delta, Delta Eta Eta, ",Epsilon Epsilon Theta
"13, 15, 19, 27, 43, ?",75,"Beta Delta, Beta Zeta, Beta Kappa, Gamma Theta, Epsilon Delta, ",Theta Zeta
"25, 33, 54, 99, 179, ?",305,"Gamma Zeta, Delta Delta, Zeta Epsilon, Kappa Kappa, Beta Theta Kappa, ",Delta Alpha Zeta
"384, 377, 356, 321, ?, 209",272,"Delta Iota Epsilon, Delta Theta Theta, Delta Zeta Eta, Delta Gamma Beta, , Gamma Alpha Kappa",Gamma Theta Gamma
"5, 9, 16, 32, 75, ?",199,"Zeta, Kappa, Beta Eta, Delta Gamma, Theta Zeta, ",Beta Kappa Kappa
"3, 16, 45, 96, 175, ?",288,"Delta, Beta Eta, Epsilon Zeta, Kappa Eta, Beta Theta Zeta, ",Gamma Iota Iota
"3, 11, 29, 67, 145, ?",303,"Delta, Beta Beta, Gamma Kappa, Eta Theta, Beta Epsilon Zeta, ",Delta Alpha Delta
"2, 12, 36, 80, 150, 252, ?",392,"Gamma, Beta Gamma, Delta Eta, Iota Alpha, Beta Zeta Alpha, Gamma Zeta Gamma, ",Delta Kappa Gamma
"1, 5, 19, 81, 411, ?",2884,"Beta, Zeta, Beta Kappa, Iota Beta, Epsilon Beta Beta, ",Gamma Iota Iota Epsilon
"9, 20, 36, 78, 148, 306, ?",600,"Kappa, Gamma Alpha, Delta Eta, Theta Iota, Beta Epsilon Iota, Delta Alpha Eta, ",Eta Alpha Alpha
"17, 33, 64, 124, 240, 464, ?",896,"Beta Theta, Delta Delta, Eta Epsilon, Beta Gamma Epsilon, Gamma Epsilon Alpha, Epsilon Eta Epsilon, ",Iota Kappa Eta
"15, 19, 83, 119, 631, ?",731,"Beta Zeta, Beta Kappa, Iota Delta, Beta Beta Kappa, Eta Delta Beta, ",Theta Delta Beta
"15, 22, 40, 75, 133, ?",220,"Beta Zeta, Gamma Gamma, Epsilon Alpha, Theta Zeta, Beta Delta Delta, ",Gamma Gamma Alpha
"24, 31, 52, 87, 136, ?",199,"Gamma Epsilon, Delta Beta, Zeta Gamma, Iota Theta, Beta Delta Eta, ",Beta Kappa Kappa
"15, 8, 9, ?, 32, 82.5, 250.5",15,"Beta Zeta, Iota, Kappa, , Delta Gamma, Iota Gamma Zeta, Gamma Zeta Alpha Zeta",Beta Zeta
"1, 9, 61, 497, 4981, ?",59785,"Beta, Kappa, Eta Beta, Epsilon Kappa Theta, Epsilon Kappa Iota Beta, ",Zeta Kappa Theta Iota Zeta
"2, 5, 23, 119, ?, 4079",659,"Gamma, Zeta, Gamma Delta, Beta Beta Kappa, , Epsilon Alpha Theta Kappa",Eta Zeta Kappa
"3, 4, 14, 73, 515, ?",4640,"Delta, Epsilon, Beta Epsilon, Theta Delta, Zeta Beta Zeta, ",Epsilon Eta Epsilon Alpha
"7, 16, 30, 62, 122, ?",246,"Theta, Beta Eta, Delta Alpha, Eta Gamma, Beta Gamma Gamma, ",Gamma Epsilon Eta
"11043, 11056, 11045, 11054, 11047, ?",11052,"Beta Beta Alpha Epsilon Delta, Beta Beta Alpha Zeta Eta, Beta Beta Alpha Epsilon Zeta, Beta Beta Alpha Zeta Epsilon, Beta Beta Alpha Epsilon Theta, ",Beta Beta Alpha Zeta Gamma
"256, 128, 192, 480, ?, 7560",1680,"Gamma Zeta Eta, Beta Gamma Iota, Beta Kappa Gamma, Epsilon Iota Alpha, , Theta Zeta Eta Alpha",Beta Eta Iota Alpha
"47, 48, 51, 60, 87, ?",168,"Epsilon Theta, Epsilon Iota, Zeta Beta, Eta Alpha, Iota Theta, ",Beta Eta Iota
"147, 148, 150, 159, 223, ?",848,"Beta Epsilon Theta, Beta Epsilon Iota, Beta Zeta Alpha, Beta Zeta Kappa, Gamma Gamma Delta, ",Iota Epsilon Iota
"145, 158, 119, 184, 93, ?",210,"Beta Epsilon Zeta, Beta Zeta Iota, Beta Beta Kappa, Beta Iota Epsilon, Kappa Delta, ",Gamma Beta Alpha
"143, 151, 158, 172, 182, ?",193,"Beta Epsilon Delta, Beta Zeta Beta, Beta Zeta Iota, Beta Theta Gamma, Beta Iota Gamma, ",Beta Kappa Delta
"47, 78, 115, 164, 231, ?",322,"Epsilon Theta, Theta Iota, Beta Beta Zeta, Beta Eta Epsilon, Gamma Delta Beta, ",Delta Gamma Gamma
"19, 61, 31, 47, ?, 19",55,"Beta Kappa, Eta Beta, Delta Beta, Epsilon Theta, , Beta Kappa",Zeta Zeta
"21, ?, 52, 80, 119, 171",33,"Gamma Beta, , Zeta Gamma, Iota Alpha, Beta Beta Kappa, Beta Theta Beta",Delta Delta
"768, 576, 432, 324, ?, 182.25",243,"Theta Eta Iota, Zeta Theta Eta, Epsilon Delta Gamma, Delta Gamma Epsilon, , Beta Iota Gamma Gamma Zeta",Gamma Epsilon Delta
"524, 260, 128, 62, ?, 12.5",29,"Zeta Gamma Epsilon, Gamma Eta Alpha, Beta Gamma Iota, Eta Gamma, , Beta Gamma Zeta",Gamma Kappa
"4, 4, 11, 37, 100, ?",224,"Epsilon, Epsilon, Beta Beta, Delta Theta, Beta Alpha Alpha, ",Gamma Gamma Epsilon
"4, 20, 51, 105, ?, 314",190,"Epsilon, Gamma Alpha, Zeta Beta, Beta Alpha Zeta, , Delta Beta Epsilon",Beta Kappa Alpha
"67, ?, 84.5, 97, 112, 129.5, 149.5",77,"Eta Theta, , Iota Epsilon Zeta, Kappa Theta, Beta Beta Gamma, Beta Gamma Kappa Zeta, Beta Epsilon Kappa Zeta",Theta Theta
"3, 10, ?, 225, 1591, 14334",42,"Delta, Beta Alpha, , Gamma Gamma Zeta, Beta Zeta Kappa Beta, Beta Epsilon Delta Delta Epsilon",Epsilon Gamma
"2, 7, 63, 420, ?, 20741",2968,"Gamma, Theta, Eta Delta, Epsilon Gamma Alpha, , Gamma Alpha Theta Epsilon Beta",Gamma Kappa Eta Iota
"462, 552, 650, 756, 870, 992, ?",1122,"Epsilon Eta Gamma, Zeta Zeta Gamma, Eta Zeta Alpha, Theta Zeta Eta, Iota Theta Alpha, Kappa Kappa Gamma, ",Beta Beta Gamma Gamma
"17, 23, 83, 293, 797, ?",1787,"Beta Theta, Gamma Delta, Iota Delta, Gamma Kappa Delta, Theta Kappa Theta, ",Beta Theta Iota Theta
"18, 23, 42, 83, 154, ?",265,"Beta Iota, Gamma Delta, Epsilon Gamma, Iota Delta, Beta Zeta Epsilon, ",Gamma Eta Zeta
"12, 5, 9, 13, 17, ?",21,"Beta Gamma, Zeta, Kappa, Beta Delta, Beta Theta, ",Gamma Beta
"46, 57, 70, 81, ?, 105",94,"Epsilon Eta, Zeta Theta, Theta Alpha, Iota Beta, , Beta Alpha Zeta",Kappa Epsilon
"16, 16, 33, 50, 67, ?",84,"Beta Eta, Beta Eta, Delta Delta, Zeta Alpha, Eta Theta, ",Iota Epsilon
"105, 118, 111.5, 124.5, 118, ?",131,"Beta Alpha Zeta, Beta Beta Iota, Beta Beta Beta Zeta, Beta Gamma Epsilon Zeta, Beta Beta Iota, ",Beta Delta Beta
"5, 3, 6, 9, ?, 15",12,"Zeta, Delta, Eta, Kappa, , Beta Zeta",Beta Gamma
"89, 91, 94, 99, ?, 117",106,"Iota Kappa, Kappa Beta, Kappa Epsilon, Kappa Kappa, , Beta Beta Theta",Beta Alpha Eta
"970, 849, 768, 719, 694, ?",675,"Kappa Theta Alpha, Iota Epsilon Kappa, Theta Eta Iota, Theta Beta Kappa, Eta Kappa Epsilon, ",Eta Theta Zeta
"40, 59, 97, 173, 325, ?",539,"Epsilon Alpha, Zeta Kappa, Kappa Theta, Beta Theta Delta, Delta Gamma Zeta, ",Zeta Delta Kappa
"452, 790, 1466, 2818, 5522, ?",10930,"Epsilon Zeta Gamma, Theta Kappa Alpha, Beta Epsilon Eta Eta, Gamma Iota Beta Iota, Zeta Zeta Gamma Gamma, ",Beta Alpha Kappa Delta Alpha
"10000, 2000, 400, 80, 16, ?",2.5,"Beta Alpha Alpha Alpha Alpha, Gamma Alpha Alpha Alpha, Epsilon Alpha Alpha, Iota Alpha, Beta Eta, ",Gamma Zeta
"2, 10, 42, 170, 682, ?",3030,"Gamma, Beta Alpha, Epsilon Gamma, Beta Theta Alpha, Eta Iota Gamma, ",Delta Alpha Delta Alpha
"200, 220, 484, 1597.2, 7027.68, ?",40552.24,"Gamma Alpha Alpha, Gamma Gamma Alpha, Epsilon Iota Epsilon, Beta Zeta Kappa Theta Gamma, Theta Alpha Gamma Theta Eta Iota, ",Epsilon Alpha Zeta Zeta Gamma Gamma Epsilon
"10, 11, 26, 87, 364, ?",1845,"Beta Alpha, Beta Beta, Gamma Eta, Iota Theta, Delta Eta Epsilon, ",Beta Iota Epsilon Zeta
"2, 3, 10, 39, 172, ?",885,"Gamma, Delta, Beta Alpha, Delta Kappa, Beta Theta Gamma, ",Iota Iota Zeta
"4, 2, 3, 7.5, 26.25, ?",118.125,"Epsilon, Gamma, Delta, Theta Zeta, Gamma Eta Gamma Zeta, ",Beta Beta Iota Beta Gamma Zeta
"15, 16, 20, 29, 45, 70, 106, ?",148,"Beta Zeta, Beta Eta, Gamma Alpha, Gamma Kappa, Epsilon Zeta, Theta Alpha, Beta Alpha Eta, ",Beta Epsilon Iota
"842, ?, 2402, 3480, 4762",1000,"Iota Epsilon Gamma, , Gamma Epsilon Alpha Gamma, Delta Epsilon Iota Alpha, Epsilon Theta Eta Gamma",Beta Alpha Alpha Alpha
"1, 9, 36, 100, 225, ?",441,"Beta, Kappa, Delta Eta, Beta Alpha Alpha, Gamma Gamma Zeta, ",Epsilon Epsilon Beta
"43, 41, 44, 39, 46, ?",37,"Epsilon Delta, Epsilon Beta, Epsilon Epsilon, Delta Kappa, Epsilon Eta, ",Delta Theta
"0, 4, 12, 76, ?",2766,"Alpha, Epsilon, Beta Gamma, Theta Eta, ",Gamma Theta Eta Eta
"14, 27, 53, 105, 209, ?",417,"Beta Epsilon, Gamma Theta, Zeta Delta, Beta Alpha Zeta, Gamma Alpha Kappa, ",Epsilon Beta Theta
