Answer,BaseQuestion,ObfuscatedQuest_l1,ObfuscatedQuest_l2
Mother ,"Veena who is the sisterinlaw of Ashok, is the daughterinlaw of Kalyani, Dheeraj is the father of Sudeep who is the only brother of Ashok How Kalyani is related to Ashok","Veena who is the niece's mother of Ashok, is the daughterinlaw of Kalyani Dheeraj is the father of Sudeep who is the only brother of Ashok How Kalyani is related to Ashok","Veena who is the  wife of Ashok's brother, is the daughterinlaw of Kalyani Dheeraj is the father of Sudeep who is the only brother of Ashok How Kalyani is related to Ashok"
Mother,"Pointing to a woman, Abhijit said, Her granddaughter is the only daughter of my brother ,How is the woman related to Abhijit?","Pointing to a woman, Abhijit said, Her son's daughter is the only daughter of my brother How is the woman related to Abhijit","Pointing to a woman, Abhijit said, Her granddaughter is the only daughter of my greatgrandfather's only grandson's daughterinlaw's husband, How is the woman related to Abhijit?"
Father-in-law,"A said This girl is the wife of the grandson of my mother, How is A related to the girl?","A said This girl is the wife of the grandson of my mother's motherinlaw's son,How is A related to the girl",A said This girl is the wife of the grandson of my mother's greatgrandfather inlaw's only grandson's son How is A related to the girl?
Mother,"Pointing towards a man, a woman said, His mother is the only daughter of my mother, How is the woman related to the man?","Pointing towards a man, a woman said, His mother is the only daughter of my father's wife ,How is the woman related to the man?","Pointing towards a man, a woman said, His mother is my greatgrandfather's only son's daughterinlaw's daughter. How is the woman related to the man?"
Wife,"Introducing Sonia, Aamir says, She is the wife of only nephew of only brother of my mother, How Sonia is related to Aamir?","Introducing Sonia, Aamir says, She is the mother of only nephew's daughter of only brotherinlaw of my mother's husband How Sonia is related to Aamir?","Introducing Sonia, Aamir says, She is the wife of only nephew of  greatgrandfather's only grandson's daughterinlaw's husband of my mother, How Sonia is related to Aamir"
Daughter-in-law,"Introducing a woman, S said, She is the mother of the only daughter of my son How that woman is related to S","Introducing a woman, S said, She is the mother of the motherinlaw's only granddaughter of my son's wife, How that woman is related to S?","Introducing a woman, S said, She is the mother of the only granddaughter of my son's sister's father's wife,How that woman is related to S?"
Brother,"Pointing to a photograph A said, He is the son of the only son of my grandfather, How is the man in the photograph related to A?","Pointing to a photograph A said, He is the son of the only son of my father's father's wife's son,  How is the man in the photograph related to A?","Pointing to a photograph A said, He is the son of the only son of my greatgrandfather's only son How is the man in the photograph related to A?"
Uncle,"Pointing to a person, Deepak said, His only brother is the father of my daughter's father How is the person related to Deepak?","Pointing to a person, Deepak said, His only brother is the grandfather's only son of my daughter's father ,How is the person related to Deepak","Pointing to a person, Deepak said, His  greatgrandfather's only grandson is the father of my daughter's father How is the person related to Deepak."
Grandmother,"P is the mother of K, K is the sister of D, D is the father of J ,How is P related to J?","P is the mother of K K is the brotherinlaw's wife of D, D is the father of J, How is P related to J","P is the greatgrandfather's only grandson's wife of K ,K is the sister of D D is the father of J How is P related to J?"
Niece,"Introducing a man, a woman said, He is the only son of the mother of my mother How is the woman related to the man?","Introducing a man, a woman said, He is the only son of the mother of my grandfather's only daughterinlaw, How is the woman related to the man?","Introducing a man, a woman said, He is the only son of the mother of my greatgrandfather's only grandson's daughter's mother, How is the woman related to the man?"
Sister,"Pointing to G, N says, I am the daughter of the only son of his grandfather How N is related to G?","Pointing to G, N says, I am the daughter of the only son of his father's father's wife, How N is related to G?","Pointing to G, N says, I am the daughter of the only son of his greatgrandfather's only son, How N is related to G?"
Daughter in law,"A's son B is married with C whose sister D is married to E the brother of B, How D is related to A?",A's son B is married with C whose sister D is married to E the sisterinlaw's husband of B How D is related to A?,"A's son B is married with C whose sister D is married to E the greatgrandfather's only grandson's daughterinlaw's husband of B, How D is related to A?"
Sister of Father-in-law,"Pointing to a lady a person said, The son of her only brother is the brother of my wife How is the lady related to the person?","Pointing to a lady a person said, The son of her only brother is the sisterinlaw's daughter's grandmother's son of my wife How is the lady related to the person?","Pointing to a lady a person said, The son of her only brother is the greatgrandfather's only grandson's daughterinlaw's mother's soninlaw of my wife, How is the lady related to the person?"
Cousin,"Pointing to a girl Sandeep said, She is the daughter of the only sister of my father How is sandeep related to the girl?","Pointing to a girl Sandeep said, She is the daughter of the only brotherinlaw of my father How is sandeep related to the girl","Pointing to a girl Sandeep said, She is the daughter of the only greatgrandfather's only grandson's daughter of my father How is sandeep related to the girl"
Sister,"Pointing to a boy in the photograph Reena said, He is the only son of the only child of my grandfather How Reena is related to that boy?","Pointing to a boy in the photograph Reena said, He is the only brother of the only daughter of only child of my mother's fatherinlaw ,How Reena is related to that boy?","Pointing to a boy in the photograph Reena said, He is the only son of the only child of my greatgrandfather's only son's wife's son's mother, How Reena is related to that boy?"
Mother,"Pointing towards a girl, Abhisek says, This girl is the daughter of only a child of my father What is the relation of Abhisek's wife to that girl?","Pointing towards a girl, Abhisek says, This girl is the daughter of only a child of my grandfather's only son What is the relation of Abhisek's wife to that girl?","Pointing towards a girl, Abhisek says, This girl is the daughter of only a child of my greatgrandfather's only grandson What is the relation of Abhisek's wife to that girl?"
Son-in-law,"Anupam said to a lady sitting in a car, The only daughter of the brother of my wife is the sisterinlaw of the brother of your sister, How the husband of the lady is related to Anupam?","Anupam said to a lady sitting in a car, The only daughter of the brother of my wife is the niece's mother of the brother of your sister How the husband of the lady is related to Anupam?","Anupam said to a lady sitting in a car, The only daughter of the brother of my wife is the sisterinlaw of the greatgrandfather's only grandson's daughterinlaw's sisterinlaw, How the husband of the lady is related to Anupam"
Grandson,"Ravi is a son of Aman's father's sister, Sahil is the son of Divya who is the mother of Gaurav and grandmother of Aman Ashok is the father of Tanya and grandfather of Ravi Divya is the wife of Ashok How is Ravi related to Divya?","Ravi is a son of Aman's father's sister Sahil is the son of Divya who is the mother of Gaurav and grandmother of Aman Ashok is the father of Tanya and grandfather of Ravi Divya is the daughter in law of Ashok's father, How is Ravi related to Divya?","Ravi is a son of Aman's father's sister Sahil is the son of Divya who is the mother of Gaurav and grandmother of Aman Ashok is the father of Tanya and grandfather of Ravi Divya is the wife of Ashok ,How is Ravi related to Ashok's father's only grandson's mother?"
Granddaughter,"A is the sister of B, B's mother is C ,C's father is D, D's mother is E, So, whats the connection between A and D?","A is the niece of B's only paternal uncle ,B's mother is C, C's father is D, D's mother is E So, whats the connection between A and D?","A is the greatgrandfather's only grandson's daughter of B, B's mother is C, C's father is D, D's mother is E, So, whats the connection between A and D?"
brother,"She is the daughter of my grandfathers only son, Vipul explained What is Vipuls relationship to the girl","She is the daughter of my mother's husband's father's only son, Vipul explained What is Vipuls relationship to the girl","She is the grandmother's granddaughter's father's only daughter, Vipul explained What is Vipuls relationship to the girl"
Aunt,"Her mother's brother is the only son of my mother's father, Amar remarked, pointing to a girl in the photograph ,What is the relationship between the girl's mother and Amar?","Her mother's brother is the only son of my mother's grandfather's son, Amar remarked, pointing to a girl in the photograph What is the relationship between the girls father's wife and Amar?","Her mother's brother is the only son of my mother's mother's father's son inlaw, Amar remarked, pointing to a girl in the photograph What is the relationship between the girl's greatgrandfather's only grandson's wife and Amar"
Cousin,"A is B's son C B's sister, has two children, D and E ,F is D's maternal uncle What is the relationship between A and D?","A is B's grandfather's grandson, C B's sister, has two children, D and E, F is D's mother's brother. What is the relationship between A and D","A is B's son, C B's sister, has two children, D and E .F is D's maternal grandmother's son ,What is the relationship between A and D"
Niece,"A, B, C, D, E, and F are the six children who are playing football A and E are siblings F is E's younger sister, C is A's uncle's only child , B and D are the sisters of C's father's brother, What is the relationship between D and A?","A, B, C, D, E, and F are the six children who are playing football A and E are siblings F is E's younger sister ,C is A's uncle's only child B and D are the sisters of C's cousin's father, What is the relationship between D and A?","A, B, C, D, E, and F are the six children who are playing football A and E are siblings F is E's younger sister C is A's uncle's only child B and D are the sisters of C's father's greatgrandfather's only grandson What is the relationship between D and A?"
Sister of father-in-law,"The son of her sole brother is my wife's brother, someone stated, pointing to a lady What is the lady's relationship to the individual?","The son of her sole brother is my wife's sisterinlaw's husband, someone stated, pointing to a lady What is the lady's relationship to the individual?","The son of her sole brother is my wife's greatgrandfather's only grandson's daughterinlaw's husband, someone stated, pointing to a lady What is the lady's relationship to the individual?"
Son,"Ravi and Deepak are brothers, Atul is Rekha's younger brother Ravi is Rekha's son, What is Deepak's relationship with Rekha?","Ravi and Deepak are brothers ,Atul is Rekha's younger brother Ravi is Rekha's son What is Deepak's relationship with Atuls sister?","Ravi and Deepak are greatgrandfather's only grandson's daughterinlaw's husband, Atul is Rekha's younger brother ,Ravi is Rekha's son. What is Deepak's relationship with Rekha?"
Mother,"His mother is the only daughter of my mother, a Reena stated, pointing to a man What is the relationship between that man and Reena?","His father's wife is the only granddaughter of my mother's mother inlaw, a Reena stated, pointing to a man What is the relationship between that man and Reena?","His mother is the only daughter of my greatgrandfather's only grandson's wife, a Reena stated, pointing to a man What is the relationship between that man and Reena?"
