input_index,premises_nl,premises_fol,conclusion_nl,conclusion_fol,original_label,obf_premises_nl,obf_premises_fol,obf_conclusion_nl,obf_conclusion_fol,obf_label
36,"['Billings is a city in Montana.', 'Montana includes the cities of Butte, Helena, and Missoula.', 'White Sulphur Springs and Butte are cities in the same state.', 'The city of Pierre is not in Montana.', 'Any city in Butte is not in Pierre.']","['CityIn(billings, montana)', 'CityIn(butte, montana) ∧ CityIn(helena, montana) ∧ CityIn(missoula, montana)', '∃x (CityIn(whitesulphursprings, x) ∧ CityIn(butte, x))', '¬CityIn(pierre, montana)', '∀x (CityIn(butte, x) → ¬CityIn(pierre, x))']",Butte and Pierre are in the same state.,"∃x (CityIn(butte, x) ∧ CityIn(pierre, x))",FALSE,"['Within the boundaries of Montana lies a city identified as Billings.', 'The inclusion of Helena, Missoula, and Butte within Montana is not false.', 'It is a truth that if White Sulphur Springs is a city in a state, then Butte is also a city in that same state.', 'It is not the case that Pierre is a city in the state of Montana.', 'For every state, it holds that if Butte is a city therein, Pierre most certainly is not a city therein as well.']","['¬¬CityIn(billings, montana)', '¬(¬CityIn(butte, montana) ∨ ¬CityIn(helena, montana) ∨ ¬CityIn(missoula, montana))', '∃x (¬¬CityIn(whitesulphursprings, x) ∧ CityIn(butte, x))', '¬(CityIn(pierre, montana) ∧ ⊥)', '¬∃x (CityIn(butte, x) ∧ CityIn(pierre, x))']",Butte and Pierre are in the same state.,"∃x (CityIn(butte, x) ∧ CityIn(pierre, x))",FALSE
37,"['Billings is a city in Montana.', 'Montana includes the cities of Butte, Helena, and Missoula.', 'White Sulphur Springs and Butte are cities in the same state.', 'The city of Pierre is not in Montana.', 'Any city in Butte is not in Pierre.']","['CityIn(billings, montana)', 'CityIn(butte, montana) ∧ CityIn(helena, montana) ∧ CityIn(missoula, montana)', '∃x (CityIn(whitesulphursprings, x) ∧ CityIn(butte, x))', '¬CityIn(pierre, montana)', '∀x (CityIn(butte, x) → ¬CityIn(pierre, x))']",Montana is home to the city of Missoula.,"CityIn(missoula, montana)",TRUE,"['If it is not the case that Billings is not a city in a region where cities cannot exist, then Billings inhabits a geographical entity universally known as Montana.', 'It is not the situation that Butte, Helena, and Missoula jointly reside outside of Montana while maintaining a presence in a defined geographical area.', 'There does not exist an opportunity for both White Sulphur Springs and Butte to be mutually exclusive to cityhood within an identical territorial division.', 'Assuming Pierre is manifest within Montana leads to a contradiction, and thus Pierre is devoid of presence in such locale.', 'In no conceivable state can Butte find itself entwined with Pierre, asserting Butte’s absence guarantees Pierre’s nonexistence in a unified setting.']","['¬¬(CityIn(billings, montana) ∨ false)', '¬(¬CityIn(butte, montana) ∨ ¬CityIn(helena, montana) ∨ ¬CityIn(missoula, montana))', '¬¬(∃x (CityIn(whitesulphursprings, x) ∧ CityIn(butte, x)))', '¬(CityIn(pierre, montana) ∨ false)', '¬∃x (CityIn(butte, x) ∧ CityIn(pierre, x))']",Montana is home to the city of Missoula.,"CityIn(missoula, montana)",TRUE
38,"['All cows are bovines.', 'Some pets are cows.', 'If something is a bovine, then it is domesticated.', 'No domesticated animals are alligators.', 'Ted is an aligator.']","['∀x (Cow(x) → Bovine(x))', '∃x (Pet(x) ∧ Cow(x))', '∀x (Bovine(x) → Domesticated(x))', '∀x (Domesticated(x) → ¬Aligator(x))', 'Aligator(ted)']",Ted is a pet and a cow.,Pet(ted) ∧ Cow(ted),FALSE,"['If it is not the case that something is not a bovine, then it is not the case that it is not a cow.', 'It is not the case that no creature is such that it is both a cow and a pet.', 'It is not the case that there exists a bovine that is not domesticated.', 'It is not the case that there is a domesticated thing that is an alligator.', 'If Ted is an alligator, then it follows that it is not the case that Ted is not an alligator.']","['∀x (¬¬Bovine(x) → ¬¬Cow(x))', '¬¬∃x (Cow(x) ∧ Pet(x))', '¬∃x (Bovine(x) ∧ ¬Domesticated(x))', '¬∃x (Domesticated(x) ∧ Aligator(x))', 'Aligator(ted) → ¬¬Aligator(ted)']",Ted is a pet and a cow.,Pet(ted) ∧ Cow(ted),FALSE
39,"['All cows are bovines.', 'Some pets are cows.', 'If something is a bovine, then it is domesticated.', 'No domesticated animals are alligators.', 'Ted is an aligator.']","['∀x (Cow(x) → Bovine(x))', '∃x (Pet(x) ∧ Cow(x))', '∀x (Bovine(x) → Domesticated(x))', '∀x (Domesticated(x) → ¬Aligator(x))', 'Aligator(ted)']","If Ted is a cow, then Ted is not a pet.",Cow(ted) → ¬Pet(ted),TRUE,"['It is not the case that there exists something not such that if it is a cow, then it is necessarily a bovine.', 'It is not true that every entity is not such that it, being a pet, does not also exhibit the property of cow.', 'If some entity is not domesticated, then it is necessarily not a bovine, which has the implication that not being domesticated negates bovinity.', 'There exists no entity for which it holds that it is both an alligator and not the case that it is domesticated.', 'There is no entity equivalent to Ted where it is not the case that it is an alligator.']","['¬∃x ¬(Cow(x) → Bovine(x))', '¬∀x ¬(Pet(x) ∧ Cow(x))', '¬Domesticated(x) → ¬Bovine(x)', '¬∃x (Aligator(x) ∧ ¬Domesticated(x))', '¬∃x (x = ted ∧ ¬Aligator(x))']","If Ted is a cow, then Ted is not a pet.",Cow(ted) → ¬Pet(ted),TRUE
40,"['Yale University is a private Ivy League research university.', 'Yale University moved to New Haven in 1716.', ""Yale university's endowment was valued at $42.3 billion."", 'Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools.', 'A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.']","['PrivateIvyLeagueResearchUniversity(yale)', 'MovedTo(yale, newhaven) ∧ MovedIn(yale, y1716)', 'ValuedAt(yalesendowment, y42.3billion)', '∃x (OrganizedInto(yale, x) ∧ ConstituentCollegesandSchools(x) ∧ ((ResidentialCollege(x) ⊕ GraduateSchool(x)) ⊕ ProfessionalSchool(x)))', 'ResidentialCollege(benjaminfranklincollege) ∧ AtYale(benjaminfranklincollege) ∧ ResidentialCollege(berkeleycollege) ∧ AtYale(berkeleycollege) ∧ ResidentialCollege(branfordcollege) ∧ AtYale(branfordcollege) ∧ ResidentialCollege(davenportcollege) ∧ AtYale(davenportcollege) ∧ ResidentialCollege(ezrastilescollege) ∧ AtYale(ezrastilescollege) ∧ ResidentialCollege(gracehoppercollege) ∧ AtYale(gracehoppercollege) ∧ ResidentialCollege(jonathanedwardscollege) ∧ AtYale(jonathanedwardscollege) ∧ ResidentialCollege(morsecollege) ∧ AtYale(morsecollege) ∧ ResidentialCollege(paulimurraycollege) ∧ AtYale(paulimurraycollege) ∧ ResidentialCollege(piersoncollege) ∧ AtYale(piersoncollege) ∧ ResidentialCollege(saybrookcollege) ∧ AtYale(saybrookcollege) ∧ ResidentialCollege(sillimancollege) ∧ AtYale(sillimancollege) ∧ ResidentialCollege(timothydwightcollege) ∧ AtYale(timothydwightcollege) ∧ ResidentialCollege(trumbullcollege) ∧ AtYale(trumbullcollege)']",A private Ivy League research university moved to New Haven.,"∃x (PrivateIvyLeagueResearchUniversity(x) ∧ MovedTo(x, newhaven))",TRUE,"['It is not the case that Yale University, which is obscured by the negation of not being a private Ivy League research institution, does not persist in such a classification.', 'Assuming the relocation to New Haven was unrealized, then, contrary to the fact, Yale would not have transitioned in the year 1716.', ""Yale University's endowment cannot be said to not possess a valuation of $42.3 billion, upheld by the absence of its negation."", 'There does not exist an x such that it is not the case that Yale is organized into x, where x involves a not-not structure concerning its being a constituent of either colleges and schools, with residential, graduate, or professional identities.', 'The assertion that colleges like Benjamin Franklin and Berkeley possess dual properties of being residential and situated at Yale is encompassed by negating their non-existence within this condition.']","['¬¬PrivateIvyLeagueResearchUniversity(yale)', '¬MovedTo(yale, newhaven) → ¬(MovedIn(yale, y1716))', '¬¬ValuedAt(yalesendowment, y42.3billion)', '¬∃x (¬(OrganizedInto(yale, x) ∧ ConstituentCollegesandSchools(x) ∧ (¬(¬ResidentialCollege(x) ∧ ¬GraduateSchool(x) ∧ ¬ProfessionalSchool(x)))))', '¬∃y (¬(ResidentialCollege(benjaminfranklincollege) ∧ AtYale(benjaminfranklincollege) ∧ ResidentialCollege(berkeleycollege) ∧ AtYale(berkeleycollege) ∧ ResidentialCollege(branfordcollege) ∧ AtYale(branfordcollege) ∧ ResidentialCollege(davenportcollege) ∧ AtYale(davenportcollege) ∧ ResidentialCollege(ezrastilescollege) ∧ AtYale(ezrastilescollege) ∧ ResidentialCollege(gracehoppercollege) ∧ AtYale(gracehoppercollege) ∧ ResidentialCollege(jonathanedwardscollege) ∧ AtYale(jonathanedwardscollege) ∧ ResidentialCollege(morsecollege) ∧ AtYale(morsecollege) ∧ ResidentialCollege(paulimurraycollege) ∧ AtYale(paulimurraycollege) ∧ ResidentialCollege(piersoncollege) ∧ AtYale(piersoncollege) ∧ ResidentialCollege(saybrookcollege) ∧ AtYale(saybrookcollege) ∧ ResidentialCollege(sillimancollege) ∧ AtYale(sillimancollege) ∧ ResidentialCollege(timothydwightcollege) ∧ AtYale(timothydwightcollege) ∧ ResidentialCollege(trumbullcollege) ∧ AtYale(trumbullcollege)))']",A private Ivy League research university moved to New Haven.,"∃x (PrivateIvyLeagueResearchUniversity(x) ∧ MovedTo(x, newhaven))",TRUE
41,"['Yale University is a private Ivy League research university.', 'Yale University moved to New Haven in 1716.', ""Yale university's endowment was valued at $42.3 billion."", 'Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools.', 'A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.']","['PrivateIvyLeagueResearchUniversity(yale)', 'MovedTo(yale, newhaven) ∧ MovedIn(yale, y1716)', 'ValuedAt(yalesendowment, y42.3billion)', '∃x (OrganizedInto(yale, x) ∧ ConstituentCollegesandSchools(x) ∧ ((ResidentialCollege(x) ⊕ GraduateSchool(x)) ⊕ ProfessionalSchool(x)))', 'ResidentialCollege(benjaminfranklincollege) ∧ AtYale(benjaminfranklincollege) ∧ ResidentialCollege(berkeleycollege) ∧ AtYale(berkeleycollege) ∧ ResidentialCollege(branfordcollege) ∧ AtYale(branfordcollege) ∧ ResidentialCollege(davenportcollege) ∧ AtYale(davenportcollege) ∧ ResidentialCollege(ezrastilescollege) ∧ AtYale(ezrastilescollege) ∧ ResidentialCollege(gracehoppercollege) ∧ AtYale(gracehoppercollege) ∧ ResidentialCollege(jonathanedwardscollege) ∧ AtYale(jonathanedwardscollege) ∧ ResidentialCollege(morsecollege) ∧ AtYale(morsecollege) ∧ ResidentialCollege(paulimurraycollege) ∧ AtYale(paulimurraycollege) ∧ ResidentialCollege(piersoncollege) ∧ AtYale(piersoncollege) ∧ ResidentialCollege(saybrookcollege) ∧ AtYale(saybrookcollege) ∧ ResidentialCollege(sillimancollege) ∧ AtYale(sillimancollege) ∧ ResidentialCollege(timothydwightcollege) ∧ AtYale(timothydwightcollege) ∧ ResidentialCollege(trumbullcollege) ∧ AtYale(trumbullcollege)']",Pierson College is a residential college at Yale.,ResidentialCollege(piersoncollege) ∧ AtYale(piersoncollege),TRUE,"['It is not the case that it is not true that Yale University, which is a private Ivy League entity, engages in research activities and aligns with the designation of a university.', 'There is no instance where Yale did not relocate to New Haven and is not true that this event did not occur in 1716.', ""It is not the situation that the valuation of Yale University's endowment is not equivalent to $42.3 billion."", 'There exists something such that Yale is not unorganized into constituent entities, which could neither be residentially complex nor academically sophisticated, combined with professional disciplines paradoxically implicated in multiple facets.', 'Negating the non-existence of colleges such as Benjamin Franklin, Berkeley, and Branford, among others, being residential constructs affiliated with Yale, falls into a logically necessary disjunction.']","['¬¬(PrivateIvyLeagueResearchUniversity(yale) ∧ ResearchUniversity(yale))', '¬(¬MovedTo(yale,newhaven) ∨ ¬MovedIn(yale,y1716))', '¬¬ValuedAt(yalesendowment,y42.3billion)', '¬¬∃x (OrganizedInto(yale,x) ∧ ConstituentCollegesandSchools(x) ∧ ((ResidentialCollege(x) ∨ GraduateSchool(x)) ∨ ProfessionalSchool(x)))', '(¬¬ResidentialCollege(benjaminfranklincollege) ∧ ¬¬AtYale(benjaminfranklincollege)) ∧ (¬¬ResidentialCollege(berkeleycollege) ∧ ¬¬AtYale(berkeleycollege)) ∧ ... ∧ (¬¬ResidentialCollege(trumbullcollege) ∧ ¬¬AtYale(trumbullcollege))']",Pierson College is a residential college at Yale.,ResidentialCollege(piersoncollege) ∧ AtYale(piersoncollege),TRUE
42,"[""Badults is a British Sitcom series, starring members of Pappy's."", 'Badults piloted in July 2013 on BBC Three.', 'The Working title ""The Secret Dude Society"" was used for Badults.', 'Andrew Collins was the script editor for Badults']","['∃x (MemberOf(x, pappys) ∧ BritishSitcom(badults) ∧ Series(badults) ∧ Starring(badults, x))', 'PilotedIn(badults, july2013) ∧ PilotedOn(badults, bbcthree)', 'WorkingTitle(thesecretdudesociety, badults)', 'ScriptEditor(andrewcollins) ∧ ScriptEditorFor(andrewcollins, badults)']","Andrew Collins was the script editor for a series with the working title ""The Secret Dude Society"".","∃x (ScriptEditorFor(andrewcollins, x) ∧ Series(x) ∧ WorkingTitle(thesecretdudesociety, x))",TRUE,"[""Should it not be the case that members of Pappy's star in Badults and Badults is a British Sitcom series, it cannot be denied that Badults stars members of Pappy's if it is a series."", 'It is certainly not the case that Badults failed to pilot in July 2013 and simultaneously piloted not on BBC Three.', ""The possibility that Badults was known by 'The Secret Dude Society' implies it is unfounded that it was never the working title."", 'If Andrew Collins was indeed not the script editor for Badults, then it must be that he was indeed the script editor.']","['¬(¬∃x (MemberOf(x, pappys) ∧ ¬(¬BritishSitcom(badults) ∨ Series(badults)) ∧ Starring(badults, x)))', '¬(¬PilotedIn(badults, july2013) ∨ ¬¬PilotedOn(badults, bbcthree))', '¬¬(WorkingTitle(thesecretdudesociety, badults) → ¬¬WorkingTitle(thesecretdudesociety, badults))', '(¬ScriptEditorFor(andrewcollins, badults) → ¬¬ScriptEditor(andrewcollins))']","Andrew Collins was the script editor for a series with the working title ""The Secret Dude Society"".","∃x (ScriptEditorFor(andrewcollins, x) ∧ Series(x) ∧ WorkingTitle(thesecretdudesociety, x))",TRUE
43,"[""Badults is a British Sitcom series, starring members of Pappy's."", 'Badults piloted in July 2013 on BBC Three.', 'The Working title ""The Secret Dude Society"" was used for Badults.', 'Andrew Collins was the script editor for Badults']","['∃x (MemberOf(x, pappys) ∧ BritishSitcom(badults) ∧ Series(badults) ∧ Starring(badults, x))', 'PilotedIn(badults, july2013) ∧ PilotedOn(badults, bbcthree)', 'WorkingTitle(thesecretdudesociety, badults)', 'ScriptEditor(andrewcollins) ∧ ScriptEditorFor(andrewcollins, badults)']",No members of Pappy's have starred for a show piloting on BBC Two or BBC Three.,"∀x ∀y (MemberOf(x, pappys) ∧ Starring(y, x) → ¬(PilotedOn(y, bbctwo) ∨ PilotedOn(y, bbcthree)))",FALSE,"[""It is not the case that not all individuals assuming roles in British Sitcom series titled Badults are not members of Pappy's starring therein."", 'It is not that Badults failed to pilot neither in July 2013 nor on BBC Three.', ""It cannot be concluded that the absence of the working title 'The Secret Dude Society' relates to Badults."", 'If Andrew Collins is not the script editor and not for a show titled Badults, then such a script editorship scenario cannot exist.']","['¬∀x ¬(MemberOf(x, pappys) ∧ ¬(¬BritishSitcom(badults) ∨ Series(badults)) ∧ ¬Starring(badults, x))', '¬(¬PilotedIn(badults, july2013) ∧ ¬PilotedOn(badults, bbcthree))', '¬∀x (¬WorkingTitle(thesecretdudesociety, badults) ∨ ⊥)', '¬(¬ScriptEditor(andrewcollins) ∨ ¬ScriptEditorFor(andrewcollins, badults))']",No members of Pappy's have starred for a show piloting on BBC Two or BBC Three.,"∀x ∀y (MemberOf(x, pappys) ∧ Starring(y, x) → ¬(PilotedOn(y, bbctwo) ∨ PilotedOn(y, bbcthree)))",FALSE
44,"['All growth companies’ stocks are volatile.', 'If the stock price is volatile, then it is not suitable for a retirement fund.', 'Some companies’ stocks are growth companies’ stocks.', 'All mature companies’ stocks are suitable for a retirement fund.', 'KO is a mature company’s stock.']","['∀x (GrowthCompanies’Stocks(x) → PriceVolatile(x))', ' ∀x (PriceVolatile(x) → ¬SuitableForRetirementRund(x)) ', ' ∃x (Companies’Stocks(x) ∧ GrowthCompanies’Stocks(x))', ' ∀x (MatureCompanies’Stocks(x) → SuitableForRetirementRund(x))', ' MatureCompanies’Stocks(kO)']",KO is a company stock and a growth company’s stock.,Companies’Stocks(kO) ∧ GrowthCompanies’Stocks(kO),FALSE,"[""If it is not the case that a stock's price is not volatile, then it cannot be that the stock belongs exclusively to growth companies."", 'Only if it is not suitable for a retirement fund could it not be possible for the stock price to maintain a non-volatile state.', ""There is a scenario where it cannot be said that no company stocks are growth companies' stocks."", 'In any hypothetical case, should a stock claim maturity, it is impossible for it not to be deemed suitable for a retirement fund.', 'It is invariably the case that if it fails to be a stock of a mature company, then it cannot be KO.']","['¬∃x (¬PriceVolatile(x) ∧ ¬GrowthCompanies’Stocks(x))', '¬∀x (SuitableForRetirementRund(x) ∨ ¬PriceVolatile(x))', '¬∀x (¬Companies’Stocks(x) ∨ ¬GrowthCompanies’Stocks(x))', '¬∃x (¬MatureCompanies’Stocks(x) ∧ ¬SuitableForRetirementRund(x))', '¬¬MatureCompanies’Stocks(kO) ∨ ¬¬¬MatureCompanies’Stocks(kO)']",KO is a company stock and a growth company’s stock.,Companies’Stocks(kO) ∧ GrowthCompanies’Stocks(kO),FALSE
45,"['All growth companies’ stocks are volatile.', 'If the stock price is volatile, then it is not suitable for a retirement fund.', 'Some companies’ stocks are growth companies’ stocks.', 'All mature companies’ stocks are suitable for a retirement fund.', 'KO is a mature company’s stock.']","['∀x (GrowthCompanies’Stocks(x) → PriceVolatile(x))', ' ∀x (PriceVolatile(x) → ¬SuitableForRetirementRund(x)) ', ' ∃x (Companies’Stocks(x) ∧ GrowthCompanies’Stocks(x))', ' ∀x (MatureCompanies’Stocks(x) → SuitableForRetirementRund(x))', ' MatureCompanies’Stocks(kO)']","If KO is a growth company’s stock or if its price is volatile, then KO is neither a company’s stock nor is its price volatile.",GrowthCompanies’Stocks(kO) ∨ PriceVolatile(kO) → ¬Companies’Stocks(kO) ∨ ¬PriceVolatile(kO),TRUE,"[""It is not the case that there exists a stock such that it is both not a growth company's stock and its price is not volatile."", 'If it is not suitable for a retirement fund, then the price is not volatile; conversely, if the price is volatile, then it is not suitable for a retirement fund.', ""There is an instance where a company's stock is not both a growth company's stock and has the property of not existing."", ""No instance of a stock is a mature company's stock without it being suitable for a retirement fund."", ""It cannot be stated that KO's stock is a mature company's stock and it is not suitable for a retirement fund.""]","['¬∃x (¬GrowthCompanies’Stocks(x) ∧ ¬PriceVolatile(x))', '(¬SuitableForRetirementRund(x) → ¬PriceVolatile(x)) ∧ (PriceVolatile(x) → ¬SuitableForRetirementRund(x))', '∃x (Companies’Stocks(x) → ¬¬GrowthCompanies’Stocks(x))', '∀x (¬¬MatureCompanies’Stocks(x) → SuitableForRetirementRund(x))', '¬(MatureCompanies’Stocks(kO) ∧ ¬SuitableForRetirementRund(kO))']","If KO is a growth company’s stock or if its price is volatile, then KO is neither a company’s stock nor is its price volatile.",GrowthCompanies’Stocks(kO) ∨ PriceVolatile(kO) → ¬Companies’Stocks(kO) ∨ ¬PriceVolatile(kO),TRUE
46,"['All vehicle registration plates in Istanbul begin with the number 34.', 'Plates that do not begin with the number 34 are not from Istanbul. ', ""Joe's vehicle registration plate is from Istanbul. "", ""Tom's license plate begins with the number 35. "", '[BG] If a license plate begins with the number 35, then it does not begin with the number 34.']","['∀x (Vehicleregistrationplate(x, istanbul) → Beginwith(x, number34))', '∀x (¬Beginwith(x, number34) → ¬FromIstanbul(x))', 'Vehicleregistrationplate(joe, istanbul)', 'Beginwith(tom, number35)', '∀x (Beginwith(x, number35) → ¬Beginwith(x, number34))']",Joe's license plate begins with the number 34.,"Beginwith(joe, number34)",TRUE,"['It is not the case that there exists any vehicle registration plate that is from Istanbul and does not commence with the number 34.', 'If plates happen to not originate from Istanbul, then they concurrently do not initiate with the number 34 either.', ""It is affirmed that there does not exist the case where Joe's vehicle registration plate is not from Istanbul."", ""If it is false that Tom's license plate does not start with 35, then indeed it does not initiate with 34."", 'For any plate, if it were the contrary that it begins with 34, it cannot also concomitantly commence with 35.']","['¬∃x (Vehicleregistrationplate(x, istanbul) ∧ ¬Beginwith(x, number34))', '∀x (¬FromIstanbul(x) → ¬Beginwith(x, number34))', '¬¬Vehicleregistrationplate(joe, istanbul)', '¬¬Beginwith(tom, number35) → ¬Beginwith(tom, number34)', '∀x (¬¬Beginwith(x, number34) ∨ ¬Beginwith(x, number35))']",Joe's license plate begins with the number 34.,"Beginwith(joe, number34)",TRUE
47,"['All vehicle registration plates in Istanbul begin with the number 34.', 'Plates that do not begin with the number 34 are not from Istanbul. ', ""Joe's vehicle registration plate is from Istanbul. "", ""Tom's license plate begins with the number 35. "", '[BG] If a license plate begins with the number 35, then it does not begin with the number 34.']","['∀x (Vehicleregistrationplate(x, istanbul) → Beginwith(x, number34))', '∀x (¬Beginwith(x, number34) → ¬FromIstanbul(x))', 'Vehicleregistrationplate(joe, istanbul)', 'Beginwith(tom, number35)', '∀x (Beginwith(x, number35) → ¬Beginwith(x, number34))']",Tom's license plate is from Istanbul.,"Vehicleregistrationplate(tom, istanbul)",FALSE,"['If it is not the case that a vehicle registration plate begins with the number 34, then it is not possible that it is not not from Istanbul.', 'It is impossible for a plate that belongs to Istanbul and does not start with the number 34 to exist, and if it does not start with the number 34, then it is not from Istanbul.', ""For Joe's vehicle registration plate, it is from Istanbul, which means it is false that it does not begin with the number 34."", ""Tom's license plate has the property of not having no commencement at number 35, implying negation of beginning with number 34, if it begins with number 35."", 'It cannot be the case that a plate starts both with the number 35 and number 34, denying the existence of such an x that fulfills both beginnings.']","['¬∃x (¬Beginwith(x, number34) ∧ ¬Vehicleregistrationplate(x, istanbul))', '¬∃x (Vehicleregistrationplate(x, istanbul) ∧ ¬Beginwith(x, number34)) ∧ (¬Beginwith(x, number34) → ¬FromIstanbul(x))', '¬¬Vehicleregistrationplate(joe, istanbul) → ¬¬Beginwith(joe, number34)', '¬¬Beginwith(tom, number35) → ¬Beginwith(tom, number34)', '¬∃x (Beginwith(x, number35) ∧ Beginwith(x, number34))']",Tom's license plate is from Istanbul.,"Vehicleregistrationplate(tom, istanbul)",FALSE
48,"['If people work in student jobs on campus, then they need to earn money to help pay for their college tuition.', 'If people order takeout frequently in college, then they work in student jobs on campus.', 'People either order takeout frequently in college or enjoy the dining hall meals and recipes.', 'If people enjoy the dining hall meals and recipes, then they are not picky eaters.', 'If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.', 'If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.']","['∀x (StudentJobs(x) → Tuition(x))', '∀x (Takeout(x) → StudentJobs(x))', '∀x (Takeout(x) ∨ DiningHall(x))', '∀x (DiningHall(x) → NotPicky(x))', '∀x (DiningHall(x) → Eating(x))', 'StudentJobs(mary) ∧ Tuition(mary) → ¬(NotPicky(mary) ∨ Tuition(mary))']",Mary is not a picky eater and spends a lot of her time eating and catching up with friends in the campus dining halls.,NotPicky(mary) ∧ Eating(mary),TRUE,"[""If it is not the case that without earning money, people cannot avoid it being the case that they don't work in student jobs on campus, then it is certain they work in student jobs on campus or neither do they need to earn money to help pay for their college tuition."", 'Only if it is not the case that people engage in campus student jobs without ordering takeout frequently while attending college, then whenever people order takeout frequently in college, such behavior necessitates the circumstance of working in student jobs.', 'It is not possible for there to exist individuals for whom it is not true that they frequently order takeout while in college and simultaneously do not enjoy the dining hall meals, unless everyone either consistently orders takeout frequently or finds pleasure in dining hall experiences.', 'If, whenever it is not the case that someone refuses dining hall meals and enjoys dining hall recipes, then it follows they cannot both be deemed picky eaters and do not take pleasure in campus dining halls.', 'In the case that spending extensive durations eating and socializing in the campus dining halls implies enjoyment of dining hall recipes, it must be true that this condition results in them neither being picky nor not relishing their time in dining halls with friends.', 'Whenever Mary finds it necessary to avoid the combination of being in student jobs and not needing to earn money for tuition, then she cannot both be considered picky or need to earn money for her tuition.']","['∀x (¬¬((¬¬StudentJobs(x) ∧ ¬¬Tuition(x)) ∨ StudentJobs(x)) → ¬¬(¬¬¬Tuition(x) ∧ ¬StudentJobs(x)))', '¬∃x (StudentJobs(x) ∨ ¬(¬¬Takeout(x) ∧ ¬StudentJobs(x))) → ∀x (Takeout(x) ∧ StudentJobs(x))', '¬∃x ¬(Takeout(x) ∨ DiningHall(x)) ∨ ∀x (¬¬Takeout(x) ∨ DiningHall(x))', '∀x (¬DiningHall(x) → ¬(NotPicky(x) ∨ ¬NotPicky(x)))', '¬¬∀x ((Eating(x) ∧ ¬DiningHall(x)) → ¬¬¬(DiningHall(x) ∨ ¬Eating(x)))', '¬(¬(StudentJobs(mary) ∨ ¬Tuition(mary)) → ¬¬(NotPicky(mary) ∨ ¬¬Tuition(mary)))']",Mary is not a picky eater and spends a lot of her time eating and catching up with friends in the campus dining halls.,NotPicky(mary) ∧ Eating(mary),TRUE
